ColID,Colony,N,E,Median
1,Ailsa Craig,55.252572,-5.116662,30378
2,Barra Head,56.784457,-7.636336,8
11,Fair Isle,59.548488,-1.639541,5385
12,Flannan Isles,58.287232,-7.589551,8695
13,Foula,60.13,-2.1,2367
53,Westray,59.3329,-3.069922,1542
32,Noss,60.138998,-1.003904,18589
47,Sula Sgeir,59.094571,-6.157786,13790
43,St Kilda,57.817558,-8.584663,54653
49,Sule Stack,59.024012,-4.506911,4915
20,Hermaness,60.823214,-0.906693,43650.5
48,Sule Skerry,59.084049,-4.408094,4674
3,Bass Rock,56.077351,-2.640381,62539
4,Bempton Cliff,54.14609,-0.16889,18153
52,Troup Head,57.68806,-2.30018,7639
5,Bjornoya,74.44291,19.038411,56
19,Hellisey,63.360935,-20.366849,4316
15,Geldungur,63.335153,-20.401069,2619
10,Eldey,63.741072,-22.957492,14525
6,Brandur,63.390806,-20.365626,733
50,Sulnasker,63.330264,-20.398528,10074
14,Fyllingen,68.53789855,14.25194444,0
33,Oddskjaeren,68.29013285,14.25138889,24
7,Buholmene,67.6675,12.75083333,503
24,Kvalnesflesa,68.30629227,13.9525,0
26,L. Foroy,69.2617029,15.96722222,6
40,Skittenskarvholmen,67.66694444,12.71833333,0
21,Hovsflesa,68.31967391,14.00138889,0
39,Skarvklakken,69.13182367,15.65138889,0
44,St Ulvoyholmen,68.44927536,14.51694444,310
45,St. Foroya,69.26114734,15.98333333,243
8,Bull Rock,51.50863527,-10.30027778,7537
30,Lundy ,51.176807,-4.66875,0
9,Clare Island,53.804281,-9.993904,367
16,Grassholm,51.73127,-5.479481,30546
17,Great Saltee,52.110426,-6.620053,7939
29,Little Skellig,51.781753,-10.508356,30534
18,Helgoland,54.186823,7.874546,1110
27,Lambay,53.490979,-6.016233,1165
22,Ireland's Eye,53.407641,-6.058958,911
38,Scar Rocks,54.66414,-4.70099,2348
23,Kharlov Kola Peninsula,68.810633,37.335895,337
25,Kvitvaer,70.17474638,18.61833333,33
51,Syltefjord,70.52173913,30.3,860
46,"Storstappen, Gjesvaer",71.1176087,25.30166667,1428
28,Les Etacs,49.704586,-2.23981,8438
34,Ortac,49.61508454,-2.29055556,2565
36,Rouzic,48.782609,-3.436389,20280
31,Mykinesholmur,62.094877,-7.576566,2439
42,Skrudur,64.900603,-13.623503,6223
35,Raudinupur,66.508312,-16.542092,938
41,Skoruvikbjarg,66.385936,-14.844428,943.5
37,Runde,62.399025,5.660184,3985
